
   INFO  Server running on [http://127.0.0.1:8000].

  Press Ctrl+C to stop the server
  2026-05-18 21:22:44 /setup ....................................... ~ 0.15ms
  2026-05-18 21:22:44 /build/assets/app-2F8C9h0l.css ............... ~ 0.03ms
  2026-05-18 21:22:44 /build/assets/app-DwndY7BJ.js ................ ~ 0.08ms
  2026-05-18 21:22:44 /build/assets/dist-B7FiFQNU.js ............... ~ 0.21ms
  2026-05-18 21:22:44 /build/assets/button-BnY6FpaQ.js ............. ~ 0.42ms
  2026-05-18 21:22:44 /build/assets/jsx-runtime-ir_6mnqC.js ........ ~ 0.67ms
  2026-05-18 21:22:44 /build/assets/utils-DJzYoSQ7.js .............. ~ 0.76ms
  2026-05-18 21:22:44 /build/assets/es2015-CF0CX6Js.js ............. ~ 0.98ms
  2026-05-18 21:22:44 /build/assets/dist-B3tsUb2-.js ............... ~ 0.05ms
  2026-05-18 21:22:44 /build/assets/label-6rIVHme-.js .............. ~ 0.06ms
  2026-05-18 21:22:44 /build/assets/createLucideIcon-CHbaUKu-.js ... ~ 0.43ms
  2026-05-18 21:22:44 /build/assets/wayfinder-BzVrPs20.js .......... ~ 0.49ms
  2026-05-18 21:22:44 /build/assets/setup-D9wRgeBX.js .............. ~ 0.62ms
  2026-05-18 21:22:44 /build/assets/password-input-Dznm1OER.js ..... ~ 0.54ms
  2026-05-18 21:22:44 /build/assets/input-error-DHxN4pRG.js ........ ~ 0.61ms
  2026-05-18 21:22:44 /build/assets/spinner-BndnXMwk.js ............ ~ 0.04ms
  2026-05-18 21:22:44 /build/assets/loader-circle-CyUoU6Jr.js ...... ~ 0.15ms
  2026-05-18 21:23:28 /setup ....................................... ~ 0.13ms
  2026-05-18 21:23:28 /build/assets/app-2F8C9h0l.css ............... ~ 0.05ms
  2026-05-18 21:23:28 /build/assets/app-DwndY7BJ.js ................ ~ 0.08ms
  2026-05-18 21:23:28 /build/assets/dist-B7FiFQNU.js ............... ~ 0.24ms
  2026-05-18 21:23:28 /build/assets/button-BnY6FpaQ.js ............. ~ 0.39ms
